preset,sh_order,pose,size_mb,psnr,ssim
Very High,2,C1,38.4,29.98,0.9699
Very High,1,C1,23.2,26.69,0.947
Very High,0,C1,14.1,25.86,0.9385
High,3,C1,30.2,56.64,0.9984
High,2,C1,18.1,29.98,0.9697
High,1,C1,10.6,26.69,0.9468
High,0,C1,6.0,25.86,0.9384
Balanced,3,C1,21.2,56.46,0.9984
Balanced,2,C1,14.1,29.98,0.9697
Balanced,1,C1,9.1,26.69,0.9468
Balanced,0,C1,6.1,25.86,0.9384
Low,3,C1,19.2,49.98,0.9948
Low,2,C1,12.1,29.91,0.9688
Low,1,C1,7.1,26.68,0.9461
Low,0,C1,4.0,25.87,0.9378
Very Low,3,C1,11.7,42.98,0.987
Very Low,2,C1,7.6,29.8,0.9656
Very Low,1,C1,5.1,26.58,0.9432
Very Low,0,C1,3.6,25.83,0.9351
Very High,2,C2,38.4,30.74,0.9728
Very High,1,C2,23.2,27.64,0.9561
Very High,0,C2,14.1,26.67,0.9482
High,3,C2,30.2,56.21,0.9981
High,2,C2,18.1,30.73,0.9725
High,1,C2,10.6,27.64,0.9559
High,0,C2,6.0,26.66,0.9479
Balanced,3,C2,21.2,56.06,0.9981
Balanced,2,C2,14.1,30.74,0.9725
Balanced,1,C2,9.1,27.64,0.9559
Balanced,0,C2,6.1,26.66,0.9479
Low,3,C2,19.2,49.33,0.994
Low,2,C2,12.1,30.61,0.9715
Low,1,C2,7.1,27.56,0.9551
Low,0,C2,4.0,26.59,0.9472
Very Low,3,C2,11.7,41.62,0.9851
Very Low,2,C2,7.6,30.5,0.9678
Very Low,1,C2,5.1,27.5,0.9523
Very Low,0,C2,3.6,26.47,0.9444
Very High,2,C3,38.4,26.74,0.9709
Very High,1,C3,23.2,23.99,0.9543
Very High,0,C3,14.1,23.24,0.9457
High,3,C3,30.2,55.82,0.9977
High,2,C3,18.1,26.74,0.9705
High,1,C3,10.6,23.99,0.954
High,0,C3,6.0,23.24,0.9455
Balanced,3,C3,21.2,55.69,0.9976
Balanced,2,C3,14.1,26.74,0.9705
Balanced,1,C3,9.1,23.99,0.954
Balanced,0,C3,6.1,23.24,0.9455
Low,3,C3,19.2,50.05,0.9939
Low,2,C3,12.1,26.73,0.97
Low,1,C3,7.1,23.99,0.9535
Low,0,C3,4.0,23.23,0.945
Very Low,3,C3,11.7,42.07,0.9859
Very Low,2,C3,7.6,26.77,0.9673
Very Low,1,C3,5.1,24.02,0.9509
Very Low,0,C3,3.6,23.23,0.9426
Very High,2,C4,38.4,31.07,0.983
Very High,1,C4,23.2,27.29,0.9705
Very High,0,C4,14.1,25.89,0.9633
High,3,C4,30.2,56.6,0.998
High,2,C4,18.1,31.07,0.9827
High,1,C4,10.6,27.29,0.9702
High,0,C4,6.0,25.89,0.963
Balanced,3,C4,21.2,56.44,0.9979
Balanced,2,C4,14.1,31.07,0.9827
Balanced,1,C4,9.1,27.29,0.9702
Balanced,0,C4,6.1,25.89,0.963
Low,3,C4,19.2,50.65,0.9947
Low,2,C4,12.1,30.84,0.9819
Low,1,C4,7.1,27.12,0.9692
Low,0,C4,4.0,25.75,0.9621
Very Low,3,C4,11.7,42.16,0.9893
Very Low,2,C4,7.6,30.48,0.9795
Very Low,1,C4,5.1,26.99,0.9672
Very Low,0,C4,3.6,25.58,0.9601
Very High,2,C5,38.4,31.98,0.9789
Very High,1,C5,23.2,29.52,0.9704
Very High,0,C5,14.1,24.8,0.9332
High,3,C5,30.2,57.98,0.9986
High,2,C5,18.1,31.98,0.9787
High,1,C5,10.6,29.52,0.9703
High,0,C5,6.0,24.8,0.9331
Balanced,3,C5,21.2,57.78,0.9985
Balanced,2,C5,14.1,31.98,0.9788
Balanced,1,C5,9.1,29.52,0.9703
Balanced,0,C5,6.1,24.8,0.9331
Low,3,C5,19.2,50.94,0.9951
Low,2,C5,12.1,32.0,0.9784
Low,1,C5,7.1,29.58,0.97
Low,0,C5,4.0,24.9,0.9337
Very Low,3,C5,11.7,44.39,0.9904
Very Low,2,C5,7.6,31.82,0.9764
Very Low,1,C5,5.1,29.46,0.9681
Very Low,0,C5,3.6,24.86,0.9319
